file,measured_area_cm2,predicted_area_cm2
171,199.382,180.6439241597242
173,564.88,375.583984375
174,1292.67,1051.0073469387755
176,740.657,629.5048476454293
178,1758.409,1518.6340394448505
179,116.032,111.9808429118774
182,628.632,518.3250688705234
183,2071.694,1984.1212680824867
184,610.979,741.5980246913581
185,451.077,539.7889546351084
186,454.18,534.1728395061729
187,822.447,652.5236734693877
188,80.963,63.95918783797572
189,189.147,187.7941871455577
190,85.048,79.64248666812769
191,393.302,394.5078494131992
192,102.84,104.85601691657054
193,119.861,190.50493827160497
194,160.903,173.46069315300085
195,137.441,66.66947368421053
196,99.781,91.48090277777776
197,909.545,801.3851115291588
198,359.273,323.7832098765432
199,259.328,230.1075565947497
200,48.021,48.439655172413794
201,171.298,277.82803324099723
202,256.167,107.55046826222684
203,134.37,46.92617984693877
206,62.55,62.80297520661156
207,189.316,236.39916716240336
208,103.037,127.00391929162431
209,39.449,47.1308
210,414.469,0.0
211,35.277,52.68364314433891
213,169.551,198.27919690828543
215,84.41,104.21305785123968
216,114.883,120.3681061394381
217,201.93,0.0
218,17.824,30.336695258742576
219,10.88,22.984905873706825
220,490.149,0.0
221,47.325,58.26053639846744
222,25.773,41.02813449661797
223,21.075,25.208192
224,29.485,33.34050783574688
225,219.78,203.8120282444607
226,488.371,476.9157127991676
227,25.113,31.859346855666065
228,302.376,264.8620689655172
229,5.27,3.812700286726261
230,61.921,78.81896551724137
232,37.423,53.57218442932729
233,40.507,53.46875
234,25.607,30.995570369720625
235,142.987,140.48450491307634
236,29.12,45.719338842975205
237,62.38,57.90290178571429
238,72.236,66.7706615413231
239,44.196,74.7850107725454
240,44.971,61.49153453372749
241,84.351,98.28769230769232
