file,measured_area_cm2,predicted_area_cm2
PXL_20240214_172530114_80cm_F6_.jpg,51.3095748,45.37263926536483
PXL_20240214_173554009_80cm_F11_.jpg,3.3677352000000003,3.303557379690803
PXL_20240214_175708911_100cm_F23_.jpg,35.916057200000004,32.584215081381394
PXL_20240214_175352365_100cm_F21_.jpg,19.696734799999998,18.239009412304867
PXL_20240214_174000188_80cm_F13_.jpg,131.5868336,131.5309780616281
PXL_20240214_175405036_80cm_F21_.jpg,20.451572,20.365307981851483
PXL_20240214_175033319_60cm_F18_.jpg,35.9870248,25.09623751812893
PXL_20240214_173904525_100cm_F13_.jpg,98.9804472,96.59829885343969
PXL_20240214_173731980_100cm_F12_.jpg,2.8838652000000002,21.8902228770258
PXL_20240214_172130671_60cm_F4_.jpg,62.6385844,57.506721454925064
PXL_20240214_174053319_60cm_F13_.jpg,231.61244,163.57905274707872
PXL_20240214_174619635_100cm_F15_.jpg,359.60573239999997,296.9242534595776
PXL_20240214_175016038_100cm_F18_.jpg,27.3483324,26.554654475999623
PXL_20240214_175122307_80cm_F19_.jpg,33.2192884,30.1557373720968
PXL_20240214_174857541_100cm_F17_.jpg,12.4451364,13.174495727533506
PXL_20240214_172902391_100cm_F7_.jpg,83.5998328,74.76045336394463
PXL_20240214_171637048_100cm_F1_.jpg,33.5934812,44.88788363171356
PXL_20240214_172812015_60cm_F7_.jpg,119.967502,116.6204795089406
PXL_20240214_172005738_100cm_F3_.jpg,9.877399599999999,9.602370376983684
PXL_20240214_171819047_100cm_F2_.jpg,40.128952,51.072977993262604
PXL_20240214_175600353_100cm_F22_.jpg,18.690285199999998,17.619855595667868
PXL_20240214_173425086_80cm_F10_.jpg,19.3031872,18.97563007321159
PXL_20240214_175608164_80cm_F22_.jpg,21.4773764,19.381546134663346
PXL_20240214_174424831_90cm_F14_.jpg,210.27699880000003,246.232245012644
PXL_20240214_174325426_100cm_F14_.jpg,191.644778,185.0293118668921
PXL_20240214_171937537_100cm_F3_.jpg,6.903212000000001,6.315234889506805
PXL_20240214_172801012_80cm_F7_.jpg,101.967538,91.29697569740472
PXL_20240214_173542045_100cm_F11_.jpg,3.0516068,3.260233144385176
PXL_20240214_174810162_60cm_F16_.jpg,71.1998576,73.96937590271395
PXL_20240214_171827242_100cm_F2_.jpg,45.148296800000004,61.919335169158146
PXL_20240214_173058624_100cm_F8_.jpg,7.677403999999999,11.973828125
PXL_20240214_173256770_60cm_F9_.jpg,64.935354,67.29689085158441
PXL_20240214_175022538_80cm_F18_.jpg,31.393485599999998,31.679449925040256
PXL_20240214_173112853_80cm_F8_.jpg,7.677403999999999,13.2306620975279
PXL_20240214_173605233_60cm_F11_.jpg,3.1354775999999998,2.770184663907383
PXL_20240214_173124719_60cm_F8_.jpg,8.709660000000001,17.0079874706343
PXL_20240214_174440129_80cm_F14_.jpg,246.76724840000003,278.41105025005953
PXL_20240214_173951011_90cm_F13_.jpg,100.5352828,98.85061051038376
PXL_20240214_172851466_80cm_F7_.jpg,91.6578812,82.84189723320158
PXL_20240214_175112414_100cm_F19_.jpg,28.7031684,21.563429355281205
PXL_20240214_173235450_100cm_F9_.jpg,50.993446399999996,52.44786178885717
PXL_20240214_172844073_60cm_F7_.jpg,106.8965604,102.04953962960631
PXL_20240214_172104621_100cm_F4_.jpg,50.4708668,41.77546074867674
PXL_20240214_172542241_60cm_F6_.jpg,78.6514556,76.016950986814
PXL_20240214_174540998_90cm_F15_.jpg,282.0445972,225.6838638209881
PXL_20240214_173743909_80cm_F12_.jpg,3.903218,22.26703430227124
PXL_20240214_175256173_60cm_F20_.jpg,138.483594,114.09267479772974
PXL_20240214_175233333_100cm_F20_.jpg,97.4449664,81.57592288993159
PXL_20240214_175618723_60cm_F22_.jpg,23.9289844,22.08904747130003
PXL_20240214_174906125_80cm_F17_.jpg,15.258034000000002,7.556430446194225
PXL_20240214_175242905_80cm_F20_.jpg,115.1417052,111.73238820187596
PXL_20240214_171837365_60cm_F2_.jpg,57.483756,81.67675844566432
PXL_20240214_174443010_80cm_F14_.jpg,249.5414364,324.1322857769429
PXL_20240214_171953310_80cm_F3_.jpg,7.8515972000000005,7.057788143364031
PXL_20240214_173410846_100cm_F10_.jpg,16.3999672,15.098136607156802
PXL_20240214_172351335_100cm_F5_.jpg,16.7870632,14.151665598975017
PXL_20240214_173246124_80cm_F9_.jpg,59.090204400000005,57.34390583748901
PXL_20240214_171724834_60cm_F1_.jpg,49.199901600000004,43.91988204921997
PXL_20240214_175447286_60cm_F21_.jpg,21.77415,24.372492573774817
PXL_20240214_175542573_100cm_F22_.jpg,23.419308,19.96215505153447
PXL_20240214_172835282_60cm_F7_.jpg,113.38041840000001,109.65811869121872
PXL_20240214_174605604_80cm_F15_.jpg,356.4573516,280.9681270172774
PXL_20240214_173800905_60cm_F12_.jpg,5.5225696,27.445567264102795
PXL_20240214_175143253_60cm_F19_.jpg,34.909607599999994,35.389198888631626
PXL_20240214_171717068_80cm_F1_.jpg,38.6708904,53.08112299106929
PXL_20240214_174916372_60cm_F17_.jpg,17.7031904,9.837825133187089
PXL_20240214_173433388_60cm_F10_.jpg,24.6386604,18.247944170333824
PXL_20240214_174751371_80cm_F16_.jpg,62.5611652,61.16207557025944
PXL_20240214_172404427_60cm_F5_.jpg,25.1870464,16.231535805816193
PXL_20240214_172735080_100cm_F7_.jpg,89.5224016,82.47499881660539
PXL_20240214_172357833_80cm_F5_.jpg,18.845123599999997,11.318141484320426
PXL_20240214_173607901_60cm_F11_.jpg,3.5354768,3.45045203944037
PXL_20240214_174741393_100cm_F16_.jpg,54.6063424,55.91096371323145
PXL_20240214_172516412_100cm_F6_.jpg,41.9354,36.67087402955172
PXL_20240214_172119010_100cm_F4_.jpg,54.045053200000005,47.68226431860409
